movie_title,release_date,genre,MPAA_rating,director,character,voice-actor,revenue
The Princess Diaries 2: Royal Engagement,11-Aug-04,Romantic Comedy,G,Garry Marshall,NA,NA,129164207.0
The Jungle Book 2,14-Feb-03,Adventure,G,Steve Trenbirth,NA,NA,66966883.0
Aspen Extreme,22-Jan-93,Romantic Comedy,PG-13,Patrick Hasburgh,NA,NA,15970955.0
Noises Off...,20-Mar-92,Comedy,PG-13,Peter Bogdanovich,NA,NA,4631720.0
He Got Game,1-May-98,Drama,R,Spike Lee,NA,NA,38766948.0
Bringing Down the House,7-Mar-03,Comedy,PG-13,Adam Shankman,NA,NA,185481530.0
Bon Voyage!,17-May-62,Comedy,Not Rated,Jean-Paul Rappeneau,NA,NA,109581646.0
Doctor Strange,4-Nov-16,Adventure,PG-13,Scott Derrickson,NA,NA,232532923.0
Flubber,26-Nov-97,Comedy,PG,Les Mayfield,NA,NA,170406423.0
Roving Mars,27-Jan-06,Documentary,G,George Butler,NA,NA,12948025.0
Captain Ron,18-Sep-92,Comedy,PG-13,Thom Eberhardt,NA,NA,45741576.0
Shadow Conspiracy,31-Jan-97,Thriller/Suspense,R,George P. Cosmatos,NA,NA,3957025.0
Good Morning Vietnam,23-Dec-87,Comedy,R,Barry Levinson,NA,NA,254414837.0
Babes in Toyland,14-Dec-61,Musical,G,Jack Donohue,NA,NA,124841160.0
An Innocent Man,6-Oct-89,Drama,R,Peter Yates,NA,NA,40983414.0
Summer of Sam,2-Jul-99,Drama,R,Spike Lee,NA,NA,32007656.0
The Good Dinosaur,25-Nov-15,Adventure,PG,Peter Sohn,NA,NA,123087120.0
Angels in the Outfield,15-Jul-94,Comedy,PG,William Dear,NA,NA,103798152.0
Tough Guys,3-Oct-86,Comedy,NA,Jeff Kanew,NA,NA,48758184.0
Something Wicked This Way Comes,29-Apr-83,Horror,NA,Jack Clayton,NA,NA,15136765.0
The Rocketeer,21-Jun-91,Action,PG,Joe Johnston,NA,NA,93256673.0
Stakeout,5-Aug-87,Comedy,R,John Badham,NA,NA,141592160.0
National Treasure 2: Book of Secrets,21-Dec-07,Adventure,PG,Jon Turteltaub,NA,NA,267003525.0
Terminal Velocity,23-Sep-94,Action,PG-13,Deran Sarafian,NA,NA,34048315.0
Apocalypto,8-Dec-06,Adventure,R,Mel Gibson,NA,NA,64959548.0
Invincible,25-Aug-06,Drama,PG,Ericson Core,NA,NA,74398864.0
25th Hour,19-Dec-02,Drama,R,Spike Lee,NA,NA,18325463.0
Mighty Joe Young,25-Dec-98,Adventure,PG,Ron Underwood,NA,NA,87906042.0
Deceived,27-Sep-91,Thriller/Suspense,PG-13,Damian Harris,NA,NA,57544453.0
Never Cry Wolf,7-Oct-83,Drama,NA,Carroll Ballard,NA,NA,70669955.0
G-Force,24-Jul-09,Adventure,PG,Hoyt Yeatman,NA,NA,134246932.0
Feast of July,13-Oct-95,Drama,R,Christopher Menaul,NA,NA,568342.0
The Lookout,30-Mar-07,Drama,R,Scott Frank,NA,NA,5637048.0
Cool Runnings,1-Oct-93,Comedy,PG,Jon Turteltaub,NA,NA,140392731.0
Alice Through the Looking Glass,27-May-16,Adventure,PG,James Bobin,NA,NA,77042381.0
The Devil and Max Devlin,1-Jan-81,NA,NA,Steven Hilliard Stern,NA,NA,48517980.0
The Chronicles of Narnia: Prince Caspian,16-May-08,Adventure,PG,Andrew Adamson,NA,NA,166277038.0
The Insider,5-Nov-99,Drama,R,Michael Mann,NA,NA,47794214.0
Camp Nowhere,26-Aug-94,Comedy,PG,Jonathan Prince,NA,NA,21576332.0
The Rock,7-Jun-96,Action,R,Michael Bay,NA,NA,255702705.0
Green Card,25-Dec-90,Romantic Comedy,PG-13,Peter Weir,NA,NA,59679131.0
Real Steel,7-Oct-11,Action,PG-13,Shawn Levy,NA,NA,90848019.0
A Kid in King Arthur's Court,11-Aug-95,Adventure,PG,Michael Gottlieb,NA,NA,25981285.0
The Last Flight of Noah’s Ark,25-Jun-80,NA,NA,Charles Jarrott,NA,NA,34472116.0
African Cats,22-Apr-11,Documentary,G,Alastair Fothergill,NA,NA,16401551.0
Toy Story 3D Double Feature,2-Oct-09,Adventure,G,NA,NA,NA,34509545.0
Into the Woods,25-Dec-14,Musical,PG,Rob Marshall,NA,NA,130894237.0
Finding Nemo,30-May-03,Adventure,G,Andrew Stanton,NA,NA,518148559.0
