,movie_title,release_date,genre,MPAA_rating,MovieSuccessLevel,director,character,voice-actor
131,The Chronicles of Narnia: Prince Caspian,16-May-08,Adventure,PG,B,,,
132,The Insider,5-Nov-99,Drama,R,C,,,
133,Camp Nowhere,26-Aug-94,Comedy,PG,C,,,
134,The Rock,7-Jun-96,Action,R,A,,,
135,Green Card,25-Dec-90,Romantic Comedy,PG-13,C,,,
136,Real Steel,7-Oct-11,Action,PG-13,B,,,
137,A Kid in King Arthur's Court,11-Aug-95,Adventure,PG,C,,,
138,The Last Flight of Noah’s Ark,25-Jun-80,,,C,,,
139,African Cats,22-Apr-11,Documentary,G,D,,,
140,Toy Story 3D Double Feature,2-Oct-09,Adventure,G,C,,,
141,Into the Woods,25-Dec-14,Musical,PG,B,,,
142,Finding Nemo,30-May-03,Adventure,G,S,,,
143,The Good Mother,4-Nov-88,Drama,,D,,,
144,The Hundred-Foot Journey,8-Aug-14,Romantic Comedy,PG,C,,,
145,Pearl Harbor,25-May-01,Action,PG-13,A,,,
146,Pirates of the Caribbean: At World’…,24-May-07,Adventure,PG-13,A,,,
147,Color of Night,19-Aug-94,Thriller/Suspense,R,C,,,
148,Romy and Michele's High School Reunion,25-Apr-97,Comedy,R,C,,,
149,Cheetah,18-Aug-89,Adventure,,D,,,
150,Jack,9-Aug-96,Drama,PG-13,B,,,
151,Monsters University,21-Jun-13,Adventure,G,A,,,
152,The Fifth Estate,18-Oct-13,Drama,R,D,,,
153,Before and After,23-Feb-96,Drama,PG-13,D,,,
154,Moonlight Mile,27-Sep-02,Drama,PG-13,D,,,
155,A Stranger Among Us,17-Jul-92,Drama,PG-13,C,,,
156,The Lizzie McGuire Movie,2-May-03,Comedy,PG,C,,,
157,Krippendorf's Tribe,27-Feb-98,Comedy,PG-13,D,,,
158,crazy/beautiful,29-Jun-01,Drama,PG-13,C,,,
159,Adventures in Babysitting,3-Jul-87,Comedy,,B,,,
160,The Game Plan,22-Sep-07,Comedy,PG,B,,,
161,Splash,9-Mar-84,Comedy,PG,B,,,
162,Who Framed Roger Rabbit?,22-Jun-88,Comedy,PG,A,,,
163,The Light Between Oceans,2-Sep-16,Drama,PG-13,D,,,
164,The Guardian,29-Sep-06,Action,PG-13,B,,,
165,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Archimedes,Junius Matthews
166,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Arthur/Wart,Rickie Sorensen
167,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Arthur/Wart,Richard Reitherman
168,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Arthur/Wart,Robert Reitherman
169,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Black Bart,Thurl Ravenscroft
170,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Madam Mim,Martha Wentworth
171,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Merlin,Karl Swenson
172,The Sword in the Stone,25-Dec-63,Adventure,,B,Wolfgang Reitherman,Sir Ector,Sebastian Cabot
